ID,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Runtime
1183,Blind Detective,2013,6.5,55%,1,0,0,0,130.0
1185,Dream House,2011,6.0,6%,1,0,0,0,84.0
1186,Luka Chuppi,2019,6.3,33%,1,0,0,0,126.0
1187,Duck Butter,2018,5.3,57%,1,0,0,0,93.0
1188,Arjun: The Warrior Prince,2012,6.8,57%,1,0,0,0,96.0
1192,Skiptrace,2016,5.7,38%,1,0,0,0,107.0
1194,Miss Virginia,2019,6.6,60%,1,0,0,0,102.0
1195,Wanda Sykes: Not Normal,2019,7.1,100%,1,0,0,0,60.0
1197,Otherhood,2019,6.0,29%,1,0,0,0,100.0
1198,"Fireworks, Should We See It from the Side or the Bottom?",2017,5.5,43%,1,0,0,0,90.0
1199,Leslie Jones: Time Machine,2020,5.1,100%,1,0,0,0,66.0
1200,Rangoon,2017,5.7,55%,1,0,0,0,170.0
1202,American Son,2019,5.6,47%,1,0,0,0,90.0
1203,The Motive,2017,6.5,63%,1,0,0,0,112.0
1204,High Flying Bird,2019,6.2,96%,1,0,0,0,90.0
1205,Come Sunday,2018,5.9,63%,1,0,0,0,106.0
1207,Country Strong,2010,6.3,22%,1,0,0,0,117.0
1209,Ri¢hie Ri¢h,1994,5.4,24%,1,0,0,0,95.0
1210,Apostle,2018,6.3,71%,1,0,0,0,130.0
1211,Message from the King,2017,6.4,43%,1,0,0,0,102.0
1212,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,6.1,20%,1,0,0,0,96.0
1216,Revenger,2018,5.7,40%,1,0,0,0,95.0
1217,Bhoot,2003,6.5,67%,1,0,1,0,113.0
1218,American Circumcision,2017,7.3,60%,1,0,0,0,101.0
1219,Raajneeti,2010,7.1,13%,1,0,0,0,163.0
1220,Shepherds and Butchers,2017,6.8,56%,1,0,0,0,106.0
1222,Carrie,2002,5.5,20%,1,0,0,0,98.0
1224,For Greater Glory: The True Story of Cristiada,2012,6.6,21%,1,0,0,0,145.0
1225,Happy New Year,2014,5.0,47%,1,0,0,0,118.0
1226,Between Worlds,2018,4.4,29%,1,0,0,0,90.0
1228,Savage Dog,2017,4.9,75%,1,0,0,0,94.0
1230,Close Enemies,2018,6.3,58%,1,0,0,0,111.0
1231,Tony Robbins: I Am Not Your Guru,2016,6.7,45%,1,0,0,0,115.0
1233,Umrika,2015,6.6,75%,1,0,0,0,98.0
1234,"Yours, Mine & Ours",2005,5.5,6%,1,0,1,0,88.0
1237,The Hurricane Heist,2018,5.1,46%,1,0,0,0,103.0
1238,Wine Country,2019,5.4,68%,1,0,0,0,103.0
1240,Submission,2018,5.6,49%,1,0,0,0,24.0
1241,Barely Lethal,2015,5.4,26%,1,0,0,0,96.0
1242,Rodney King,2017,5.5,100%,1,0,0,0,52.0
1244,Buffalo Boys,2018,5.8,79%,1,0,0,0,102.0
1248,Flock of Four,2017,6.0,60%,1,0,0,0,80.0
1249,Marc Maron: End Times Fun,2020,6.8,80%,1,0,0,0,71.0
1251,Immoral Tales,1973,5.6,43%,1,0,0,0,103.0
1252,4 latas,2019,5.9,57%,1,0,0,0,105.0
1254,3 Generations,2016,5.9,32%,1,0,0,0,92.0
1256,Jezebel,2020,6.4,89%,1,0,0,0,104.0
1257,A Christmas Prince: The Royal Wedding,2018,5.2,70%,1,0,0,0,92.0
1258,XX,2017,4.5,70%,1,0,0,0,80.0
1267,Chopsticks,2019,6.5,20%,1,0,0,0,100.0
1268,Bullet Head,2017,5.4,59%,1,0,0,0,93.0
1269,Moonwalkers,2015,6.1,42%,1,0,0,0,107.0
1270,Imagine That,2009,5.6,41%,1,0,1,0,107.0
1272,Bébé's Kids,1992,5.8,30%,1,0,0,0,70.0
1273,Patrick,2018,5.8,36%,1,0,1,0,94.0
1276,Holidays,2016,5.1,52%,1,0,0,0,105.0
1278,Alt-Right: Age of Rage,2018,5.7,87%,1,0,0,0,104.0
1279,Sleepover,2004,5.3,15%,1,0,1,0,89.0
1282,Mascots,2016,5.7,49%,1,0,0,0,89.0
1284,Time to Hunt,2020,6.2,83%,1,0,0,0,134.0
1291,Coffee & Kareem,2020,5.1,22%,1,0,0,0,88.0
1292,Aarakshan,2011,6.2,57%,1,0,1,0,164.0
1296,The Outcasts,2017,5.5,50%,1,0,0,0,95.0
1298,Black Snow,2017,6.2,57%,1,0,0,0,90.0
1299,Tad the Lost Explorer and the Secret of King Midas,2017,6.2,29%,1,0,0,0,85.0
1302,Major League II,1994,5.6,5%,1,1,0,0,105.0
1303,La tribu,2018,5.8,71%,1,0,0,0,30.0
1305,Force 2,2016,6.2,55%,1,0,0,0,127.0
1307,Bad Rap,2016,6.3,70%,1,0,0,0,82.0
1308,Tarzan II,2005,5.6,33%,1,0,0,0,72.0
1310,He's Out There,2018,5.2,43%,1,0,0,0,89.0
1315,Rugrats Go Wild,2003,5.6,39%,1,0,0,0,80.0
1319,Yucatán,2018,5.4,60%,1,0,0,0,129.0
1320,Trespass Against Us,2016,5.8,57%,1,0,0,0,99.0
1321,The Last Summer,2019,5.6,17%,1,0,1,0,109.0
1322,Sinister 2,2015,5.3,16%,1,0,0,0,97.0
1324,Bobbi Jene,2017,6.2,59%,1,0,0,0,95.0
1327,Ajji,2017,7.0,56%,1,0,0,0,104.0
1328,Bennett's War,2019,5.5,50%,1,0,0,0,94.0
1329,Our Lovers,2016,6.7,20%,1,0,0,0,88.0
1330,A Haunted House,2013,5.0,9%,1,0,0,0,86.0
1332,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,8.1,100%,1,0,0,0,102.0
1333,Every Time I Die,2019,5.0,100%,1,0,0,0,98.0
1338,Little Boxes,2017,5.9,67%,1,0,0,0,84.0
1341,Anthony Jeselnik: Fire in the Maternity Ward,2019,7.0,80%,1,0,0,0,64.0
1342,"The Goods: Live Hard, Sell Hard",2009,5.8,27%,1,0,1,0,89.0
1350,Sandy Wexler,2017,5.1,27%,1,0,0,0,130.0
1351,Kickboxer: Vengeance,2016,4.9,41%,1,0,0,0,90.0
1352,Christmas Inheritance,2017,5.7,43%,1,0,0,0,104.0
1353,Sex and the City 2,2010,4.5,16%,1,0,0,0,146.0
1354,Badland,2019,5.7,50%,1,0,0,0,117.0
1355,A Land Imagined,2019,6.3,67%,1,0,0,0,95.0
1356,The Most Assassinated Woman in the World,2018,5.3,86%,1,0,0,0,102.0
1360,Bushwick,2017,5.2,47%,1,0,0,0,94.0
1362,Dilwale,2015,5.2,21%,1,0,0,0,158.0
1366,The Death and Life of Marsha P. Johnson,2017,7.2,95%,1,0,0,0,105.0
1368,Asperger's Are Us,2016,6.7,100%,1,0,0,0,82.0
1369,Hard Tide,2016,4.7,100%,1,0,0,0,90.0
1373,Ibiza,2018,5.2,75%,1,0,0,0,94.0
1374,Jailbreak,2017,5.4,70%,1,0,0,0,92.0
1375,"Game Over, Man!",2018,5.4,9%,1,0,0,0,101.0
1376,The Same Blood,2019,6.0,100%,1,0,0,0,113.0
1377,Love Wedding Repeat,2020,5.5,21%,1,0,0,0,100.0
1379,Apollo 18,2011,5.2,23%,1,0,0,0,86.0
1381,Strange Weather,2016,5.9,58%,1,0,0,0,92.0
1382,Rolling Papers,2015,6.2,58%,1,0,0,0,79.0
1387,Chernobyl Diaries,2012,5.0,19%,1,0,0,0,86.0
1389,The Sea of Trees,2016,6.1,15%,1,0,0,0,110.0
1390,Room for Rent,2017,5.4,88%,1,0,0,0,81.0
1391,The Cat in the Hat,2003,3.9,9%,1,1,0,0,82.0
1394,All Good,2018,6.4,100%,1,0,0,0,90.0
1395,Cut Bank,2014,6.0,37%,1,0,0,0,93.0
1397,Casa De Mi Padre,2012,5.5,41%,1,0,0,0,84.0
1398,Baaghi,2016,5.2,30%,1,0,0,0,133.0
1399,Love Aaj Kal,2020,5.2,17%,1,0,0,0,142.0
1401,Demonic,2015,5.3,33%,1,0,0,0,83.0
1406,The Longshots,2008,5.4,41%,1,0,0,0,94.0
1409,Friend Request,2016,5.3,16%,1,0,1,0,92.0
1412,When Two Worlds Collide,2016,7.7,91%,1,0,0,0,103.0
1415,The Duel,2016,5.8,26%,1,0,1,0,110.0
1420,Silent Hill: Revelation 3D,2012,5.0,10%,1,0,0,0,95.0
1421,Hangman,2017,5.2,5%,1,0,1,0,98.0
1422,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",2017,7.2,100%,1,0,0,0,60.0
1423,Haraamkhor,2015,6.4,63%,1,0,0,0,90.0
1424,Lila & Eve,2015,5.8,40%,1,0,1,0,94.0
1427,Ordinary World,2016,5.5,47%,1,0,0,0,86.0
1428,Polar,2019,6.3,16%,1,0,0,0,118.0
1430,Ek Main Aur Ekk Tu,2012,5.8,63%,1,0,0,0,110.0
1431,The Warning,2018,5.9,56%,1,0,1,0,92.0
1432,Iron Sky The Coming Race,2019,5.0,29%,1,0,0,0,90.0
1437,Shimmer Lake,2017,6.2,50%,1,0,0,0,83.0
1439,Mohenjo Daro,2016,5.7,38%,1,0,0,0,155.0
1443,Soul Plane,2004,4.5,18%,1,0,1,0,86.0
1445,American Anarchist,2016,5.8,67%,1,0,0,0,80.0
1449,She Hate Me,2004,5.3,19%,1,0,0,0,138.0
1451,Baazaar,2018,6.7,40%,1,0,0,0,137.0
1452,The Week Of,2018,5.1,27%,1,0,0,0,116.0
1453,Lady Bloodfight,2016,5.6,40%,1,0,0,0,100.0
1455,Look & See: A Portrait of Wendell Berry,2017,7.0,50%,1,0,0,0,82.0
1456,Earthquake Bird,2019,5.9,57%,1,0,0,0,107.0
1457,Mohawk,2018,4.5,84%,1,0,0,0,91.0
1461,Bokeh,2017,5.0,45%,1,0,0,0,92.0
1462,W.E.,2011,6.3,12%,1,0,0,0,119.0
1468,Across the Line,2016,5.1,83%,1,0,1,0,87.0
1470,Casting JonBenet,2017,6.1,82%,1,0,0,0,80.0
1473,By the Sea,2015,5.3,34%,1,0,0,0,122.0
1474,Illang: The Wolf Brigade,2018,6.0,29%,1,0,0,0,139.0
1477,IO,2019,4.7,57%,1,0,0,0,96.0
1482,Hope Springs Eternal,2018,4.7,88%,1,0,0,0,78.0
1483,Take Your Pills,2018,6.4,50%,1,0,0,0,87.0
1484,Where the Money Is,2000,6.2,47%,1,0,0,0,89.0
1485,Mubarakan,2017,5.6,43%,1,0,0,0,156.0
1486,Vincent N Roxxy,2016,5.5,41%,1,0,0,0,102.0
1487,Tall Girl,2019,5.2,44%,1,0,0,0,101.0
1489,USS Indianapolis: Men of Courage,2016,5.2,17%,1,0,0,0,128.0
1493,Delhi-6,2009,6.1,40%,1,0,0,0,141.0
1497,Tremors: A Cold Day in Hell,2018,5.0,40%,1,0,0,0,98.0
1498,Rainbow Time,2016,5.9,67%,1,0,1,0,91.0
1501,The Last Airbender,2010,4.1,5%,1,0,0,0,103.0
1503,Step Sisters,2018,5.4,22%,1,0,0,0,108.0
1507,Speech & Debate,2017,5.9,55%,1,0,0,0,105.0
1512,Backtrack,2015,5.9,30%,1,0,0,0,90.0
1513,Warehoused,2017,7.7,100%,1,0,0,0,93.0
1514,Don't Knock Twice,2017,5.1,24%,1,0,0,0,93.0
1521,Postcards from London,2018,5.0,53%,1,0,0,0,90.0
1524,The Black Godfather,2019,6.5,100%,1,0,1,0,118.0
1526,Martin Lawrence Live: Runteldat,2002,5.4,39%,1,0,1,0,113.0
1534,The Main Event,2020,4.7,30%,1,0,0,0,101.0
1536,Rukh,2017,6.5,100%,1,0,0,0,106.0
1540,Mo' Money,1992,5.5,16%,1,0,0,0,89.0
1542,Special Correspondents,2016,5.8,18%,1,0,0,0,101.0
1543,Pokémon: Mewtwo Strikes Back - Evolution,2019,5.7,44%,1,0,0,0,98.0
1544,Small Crimes,2017,5.8,58%,1,0,0,0,95.0
1545,The Assignment,2016,4.6,34%,1,0,0,0,95.0
1553,Love Beats Rhymes,2017,5.3,44%,1,0,0,0,106.0
1561,Snow Day,2000,5.1,29%,1,0,0,0,89.0
1563,Jem and the Holograms,2015,4.1,22%,1,0,0,0,118.0
1567,Burlesque: Heart of the Glitter Tribe,2017,5.8,83%,1,0,0,0,76.0
1568,The Silence of the Marsh,2019,5.0,50%,1,0,0,0,92.0
1570,How It Ends,2018,5.0,17%,1,0,0,0,113.0
1572,El Camino Christmas,2017,5.7,40%,1,0,0,0,89.0
1576,Search Party,2014,5.6,11%,1,0,0,0,24.0
1577,The Legend of Cocaine Island,2018,6.3,78%,1,0,0,0,83.0
1583,Malevolent,2018,4.8,38%,1,0,0,0,89.0
1584,Dayveon,2017,6.3,71%,1,0,0,0,75.0
1586,Paper Year,2018,5.1,71%,1,0,0,0,89.0
1587,Point Blank,2019,5.7,38%,1,0,1,0,86.0
1592,The Adventures of Sharkboy and Lavagirl,2005,3.5,19%,1,0,0,0,29.0
1597,Swearnet: The Movie,2014,5.9,20%,1,0,0,0,112.0
1598,DragonHeart: A New Beginning,2000,4.5,40%,1,0,0,0,84.0
1600,I Am Wrath,2016,5.4,11%,1,0,0,0,92.0
1605,Tales from the Hood 2,2018,4.4,75%,1,0,0,0,111.0
1606,The Little Vampire 3D,2017,5.4,14%,1,0,0,0,83.0
1609,XOXO,2016,5.3,71%,1,0,0,0,92.0
1611,For Here or to Go?,2017,6.7,54%,1,0,0,0,105.0
1613,Social Animals,2018,5.2,38%,1,0,0,0,90.0
1616,Mercy Black,2019,4.9,40%,1,0,0,0,88.0
1617,Fun Mom Dinner,2017,5.2,33%,1,0,0,0,81.0
1620,Lavender,2016,5.4,36%,1,0,1,0,92.0
1624,City of Tiny Lights,2016,5.5,59%,1,0,0,0,110.0
1627,Hank: 5 Years from the Brink,2013,6.6,50%,1,0,0,0,85.0
1633,Bulbul Can Sing,2019,6.8,100%,1,0,0,0,95.0
1636,The Titan,2018,4.8,16%,1,0,0,0,97.0
1637,Sliver,1993,5.0,11%,1,0,0,0,107.0
1638,Half Girlfriend,2017,4.3,25%,1,0,0,0,135.0
1639,God Bless the Broken Road,2018,5.5,17%,1,0,0,0,111.0
1640,Summer Night,2019,4.6,52%,1,0,0,0,98.0
1645,Bayonet,2018,5.8,80%,1,0,0,0,101.0
1647,Cezanne and I,2016,6.0,53%,1,0,0,0,117.0
1650,The Tenth Man,2016,5.7,71%,1,0,0,0,100.0
1652,Screwed,2000,5.8,13%,1,0,1,0,81.0
1660,Mara,2018,5.1,29%,1,0,0,0,98.0
1666,Puerto Ricans in Paris,2015,5.3,36%,1,0,0,0,82.0
1668,Skin Trade,2014,5.6,25%,1,0,0,0,96.0
1672,Arctic Dogs,2019,4.5,13%,1,0,0,0,92.0
1676,A Christmas Prince: The Royal Baby,2019,5.3,40%,1,0,0,0,84.0
1681,Cats & Dogs: The Revenge of Kitty Galore,2010,4.3,13%,1,0,0,0,82.0
1687,Jab Harry Met Sejal,2017,5.3,10%,1,0,0,0,143.0
1688,The Roommate,2011,4.8,4%,1,0,0,0,91.0
1689,Doom: Annihilation,2019,3.6,50%,1,0,0,0,96.0
1691,The Vault,2017,4.8,25%,1,0,0,0,91.0
1692,Theatre of Life,2016,6.5,100%,1,0,0,0,138.0
1695,The Laws of Thermodynamics,2018,6.0,45%,1,0,0,0,100.0
1703,The Watcher,2000,5.3,10%,1,0,0,0,103.0
1705,Some Kind of Beautiful,2015,5.7,6%,1,0,0,0,99.0
1706,I Am the Pretty Thing That Lives in the House,2016,4.5,60%,1,0,0,0,89.0
1709,The Adderall Diaries,2016,5.2,21%,1,0,0,0,87.0
1712,CRD,2016,6.3,100%,1,0,0,0,108.0
1717,Ready,2011,4.7,30%,1,0,1,0,145.0
1720,The Legacy of a Whitetail Deer Hunter,2018,5.5,32%,1,0,0,0,83.0
1721,Shorts,2009,4.7,46%,1,0,0,0,89.0
1722,Rim of the World,2019,5.1,30%,1,0,0,0,98.0
1731,First Kill,2017,5.0,12%,1,0,0,0,97.0
1734,Miss Julie,2014,5.4,51%,1,0,0,0,129.0
1738,Theo Who Lived,2016,6.8,82%,1,0,0,0,86.0
1741,Ready to Mingle,2019,5.9,44%,1,0,0,0,95.0
1744,The Bye Bye Man,2017,4.2,18%,1,0,0,0,96.0
1752,Spy Kids: All the Time in the World,2011,3.5,22%,1,0,0,0,89.0
1762,The Little Mermaid,2018,4.2,20%,1,0,0,1,83.0
1766,Invisible Essence: The Little Prince,2018,7.5,100%,1,0,0,0,90.0
1767,Naam Shabana,2017,6.3,40%,1,0,0,0,147.0
1773,There's Something in the Water,2019,6.7,82%,1,0,0,0,73.0
1776,Birthmarked,2018,5.7,12%,1,0,0,0,90.0
1778,Twin Murders: The Silence of the White City,2019,5.2,40%,1,0,0,0,110.0
1784,Mr. Pig,2016,5.7,62%,1,0,0,0,100.0
1793,A Dangerous Woman,1993,5.8,50%,1,0,0,0,102.0
1802,The Black Prince,2017,6.6,7%,1,0,0,0,118.0
1807,The Humanity Bureau,2017,4.8,25%,1,0,0,0,95.0
1809,Big Kill,2018,5.3,22%,1,0,0,0,126.0
1811,Girlfriend's Day,2017,5.2,43%,1,0,0,0,65.0
1815,All I Wish,2018,5.1,18%,1,0,0,0,94.0
1817,I Don't Know How She Does It,2011,4.9,17%,1,0,0,0,89.0
1818,Bob Lazar: Area 51 and Flying Saucers,2018,5.5,20%,1,0,0,0,97.0
1823,Noblemen,2019,5.8,100%,1,0,0,0,108.0
1824,Highly Strung,2016,7.2,100%,1,0,0,0,96.0
1845,Once Upon a Time in London,2019,6.1,20%,1,0,0,0,111.0
1846,Visions,2015,5.3,19%,1,0,0,0,82.0
1847,The Most Hated Woman in America,2017,6.1,43%,1,0,0,0,91.0
1852,Good People,2014,5.5,9%,1,0,0,0,90.0
1858,Hoodwinked Too! Hood VS. Evil,2011,4.7,11%,1,0,0,0,86.0
1866,Swiped,2018,3.6,17%,1,0,0,0,93.0
1873,Gori Tere Pyaar Mein,2013,5.0,44%,1,0,0,0,150.0
1885,The Rehearsal,2016,5.7,82%,1,0,0,0,102.0
1898,Belmonte,2019,6.1,92%,1,0,0,0,74.0
1910,Don Verdean,2015,5.4,29%,1,0,0,0,90.0
1925,Under the Eiffel Tower,2019,5.1,41%,1,0,0,0,87.0
1930,The Love Guru,2008,3.8,14%,1,0,1,0,87.0
1932,Elisa & Marcela,2019,6.5,33%,1,0,0,0,118.0
1933,The Clapper,2018,5.1,23%,1,0,0,0,89.0
1942,Perdida,2018,5.6,20%,1,0,0,0,149.0
1961,Havenhurst,2016,4.8,27%,1,0,0,0,85.0
1966,God's Not Dead: A Light in Darkness,2018,4.5,11%,1,0,0,0,105.0
1974,Judwaa 2,2017,3.8,36%,1,0,0,0,145.0
1985,River's Edge,2018,6.2,71%,1,0,0,0,99.0
1998,The Last Resort,2018,7.3,90%,1,0,0,0,75.0
2008,Azhar,2016,5.8,22%,1,0,0,0,130.0
2012,Secret Obsession,2019,4.3,36%,1,0,0,0,97.0
2016,Merata: How Mum Decolonised the Screen,2019,6.9,92%,1,0,0,0,89.0
2020,The Apostate,1987,6.0,75%,1,0,0,0,80.0
2024,Burning Cane,2019,5.5,88%,1,0,0,0,77.0
2031,Blood Money,2017,4.4,50%,1,0,1,0,100.0
2044,Zoom,2006,4.4,3%,1,0,0,0,93.0
2053,Aiyaary,2018,5.3,29%,1,0,0,0,157.0
2071,The Last Face,2016,4.9,8%,1,0,0,0,130.0
2091,Chronically Metropolitan,2016,5.1,40%,1,0,0,0,90.0
2092,Lucknow Central,2017,6.2,40%,1,0,0,0,133.0
2101,The Drowning,2016,4.4,50%,1,0,0,0,95.0
2103,Heroine,2012,5.1,50%,1,0,0,0,43.0
2113,Rattlesnake,2019,4.6,29%,1,0,0,0,85.0
2121,Judy Moody and the Not Bummer Summer,2011,4.2,20%,1,0,0,0,91.0
2135,Fitoor,2016,5.4,15%,1,0,0,0,131.0
2139,White Chamber,2018,4.4,43%,1,0,0,0,89.0
2142,Curtiz,2018,6.0,50%,1,0,0,0,98.0
2144,Woody Woodpecker,2017,4.1,13%,1,0,0,0,91.0
2156,Heirs,2015,5.7,67%,1,0,0,0,55.0
2162,Revenge of the Green Dragons,2014,5.3,15%,1,0,0,0,94.0
2164,Mostly Sunny,2017,5.4,43%,1,0,0,0,83.0
2180,Deep,2017,4.1,33%,1,0,0,0,92.0
2182,Krystal,2018,5.4,10%,1,0,0,0,90.0
2192,Animas,2018,4.8,67%,1,0,0,0,83.0
2194,The Devil Inside,2012,4.2,6%,1,0,0,0,83.0
2201,Paris Is Us,2019,4.6,43%,1,0,0,0,83.0
2214,Happy Family,2017,4.8,10%,1,0,0,0,93.0
2215,Reincarnated,2012,6.2,29%,1,0,0,0,96.0
2220,Kath & Kimderella,2012,5.3,26%,1,0,0,0,86.0
2223,14 Cameras,2018,4.5,22%,1,0,0,0,90.0
2233,Shark Night 3D,2011,4.0,19%,1,0,0,0,90.0
2240,The Runner,2015,4.7,24%,1,0,0,0,90.0
2241,Spanish Affair 2,2015,5.3,40%,1,0,0,0,99.0
2245,Kings,2017,5.0,13%,1,0,0,0,86.0
2256,Brahman Naman,2016,5.6,75%,1,0,0,0,95.0
2257,All the Devil's Men,2018,5.1,23%,1,0,0,0,99.0
2317,Monsters: Dark Continent,2014,4.3,17%,1,0,0,0,119.0
2324,The Devil and Father Amorth,2018,4.6,44%,1,0,0,0,68.0
2342,Girls with Balls,2019,3.8,38%,1,0,0,0,77.0
2343,Sadie's Last Days on Earth,2016,5.2,40%,1,0,0,0,90.0
2347,A Glimpse Inside the Mind of Charles Swan III,2012,4.8,16%,1,0,0,0,86.0
2370,The Last Thing He Wanted,2020,4.2,6%,1,0,0,0,115.0
2372,Dance Flick,2009,3.5,18%,1,0,1,0,83.0
2375,The (Silent) War,2019,5.6,56%,1,0,0,0,121.0
2386,Jacob's Ladder,2019,3.4,5%,1,0,1,0,113.0
2404,"Berlin, I Love You",2019,4.6,11%,1,0,0,0,120.0
2439,Dry Martina,2018,5.9,50%,1,0,0,0,95.0
2452,I'm in Love with a Church Girl,2013,4.4,6%,1,0,0,0,118.0
2463,Awake,2019,5.0,14%,1,0,0,0,92.0
2473,Poster Boys,2017,5.5,33%,1,0,0,0,128.0
2474,A Flying Jatt,2016,3.1,43%,1,0,0,0,151.0
2479,Sextuplets,2019,4.4,14%,1,0,0,0,97.0
2484,The Open House,2018,3.2,23%,1,0,0,0,94.0
2516,Change in the Air,2018,5.4,11%,1,0,0,0,94.0
2525,Zubaan,2016,6.1,83%,1,0,1,0,115.0
2579,The Fourth Direction,2015,6.4,63%,1,0,0,0,115.0
2591,Monster Island,2017,4.8,18%,1,0,1,0,89.0
2596,A Perfect Man,2013,5.2,20%,1,0,0,0,95.0
2603,The Body,2019,5.4,17%,1,0,0,0,89.0
2626,Day of the Dead: Bloodline,2017,3.4,13%,1,0,0,0,90.0
2661,Planetarium,2016,4.6,16%,1,0,1,0,105.0
2684,Dear Dad,2016,6.4,29%,1,0,1,0,95.0
2685,I Am Vengeance,2018,4.3,38%,1,0,1,0,92.0
2715,Deadcon,2019,2.8,50%,1,0,0,0,78.0
2744,Five Nights in Maine,2016,4.6,28%,1,0,0,0,82.0
2794,Stray Bullet,2018,6.1,75%,1,0,0,0,75.0
2832,Beneath The Leaves,2019,4.5,20%,1,0,0,0,90.0
2872,Back of the Net,2019,5.0,50%,1,0,0,0,98.0
2895,New Money,2018,4.8,60%,1,0,1,0,107.0
2914,Viking Destiny,2018,4.2,13%,1,0,0,0,91.0
2958,Gour Hari Dastaan,2015,7.5,40%,1,0,0,0,114.0
3058,Malaal,2019,5.9,29%,1,0,0,0,153.0
3140,Black Rose,2014,2.5,22%,1,0,0,0,83.0
3206,Tees Maar Khan,2010,2.5,11%,1,0,0,0,135.0
3231,Garbage,2018,3.3,60%,1,0,1,0,105.0
3333,Mantostaan,2017,6.2,40%,1,0,1,0,92.0
3366,The Price of Success,2017,5.8,20%,1,0,0,0,92.0
3431,Mantra,2017,5.2,40%,1,0,1,0,90.0
3441,Coffee with D,2017,4.4,17%,1,0,1,0,123.0
3561,The Dark Knight,2008,9.0,94%,0,1,0,0,152.0
3562,GoodFellas,1990,8.7,96%,0,1,0,0,146.0
3563,Parasite,2019,8.6,99%,0,1,1,0,132.0
3564,Good Will Hunting,1997,8.3,97%,0,1,0,0,126.0
3565,The Green Mile,1999,8.6,78%,0,1,0,0,189.0
3566,Batman Begins,2005,8.2,84%,0,1,0,0,140.0
3567,Grave of the Fireflies,1988,8.5,98%,0,1,0,0,89.0
3568,Kill Bill: Vol. 1,2003,8.1,85%,0,1,0,0,111.0
3569,Zombieland,2009,7.6,90%,0,1,1,0,88.0
3570,A Quiet Place,2018,7.5,95%,0,1,1,0,90.0
3571,Kill Bill: Vol. 2,2004,8.0,84%,0,1,0,0,137.0
3572,Let the Right One In,2008,7.9,98%,0,1,0,0,114.0
3573,True Grit,2010,7.6,96%,0,1,1,0,110.0
3574,Akira,1988,8.0,90%,0,1,0,0,124.0
3575,50/50,2011,7.6,93%,0,1,0,0,100.0
3576,Hunt for the Wilderpeople,2016,7.9,96%,0,1,0,0,101.0
3577,The Graduate,1967,8.0,86%,0,1,0,0,106.0
3578,Portrait of a Lady on Fire,2019,8.2,98%,0,1,0,0,122.0
3579,Misery,1990,7.8,90%,0,1,0,0,107.0
3580,The Conjuring,2013,7.5,85%,0,1,0,0,112.0
3581,Free Solo,2018,8.2,97%,0,1,0,1,100.0
3582,Captain Fantastic,2016,7.9,82%,0,1,0,0,118.0
3583,"I, Tonya",2017,7.5,89%,0,1,0,0,119.0
3584,Blazing Saddles,1974,7.7,89%,0,1,0,0,93.0
3585,Shoplifters,2018,8.0,99%,0,1,0,0,121.0
3586,Up in the Air,2009,7.4,91%,0,1,1,0,109.0
3587,The Cabin in the Woods,2012,7.0,92%,0,1,1,0,95.0
3588,How to Train Your Dragon: The Hidden World,2019,7.5,91%,0,1,0,0,104.0
3589,Escape from Alcatraz,1979,7.6,96%,0,1,1,0,112.0
3590,Star Trek II: The Wrath of Khan,1982,7.7,87%,0,1,1,0,113.0
3591,Apollo 11,2019,8.2,99%,0,1,0,0,93.0
3592,Booksmart,2019,7.2,97%,0,1,0,0,102.0
3593,Super 8,2011,7.0,81%,0,1,1,0,112.0
3594,Mission: Impossible - Fallout,2018,7.7,97%,0,1,1,0,147.0
3595,Coherence,2013,7.2,88%,0,1,1,0,89.0
3596,Annihilation,2018,6.9,88%,0,1,1,0,115.0
3597,Heathers,1989,7.2,93%,0,1,1,0,103.0
3598,The Descent,2005,7.2,85%,0,1,1,0,99.0
3599,The Guilty,2018,7.5,97%,0,1,1,0,85.0
3600,Fighting with My Family,2019,7.1,93%,0,1,1,0,108.0
3601,Bumblebee,2018,6.8,91%,0,1,1,0,114.0
3602,Rango,2011,7.2,88%,0,1,1,0,107.0
3603,Instant Family,2018,7.3,81%,0,1,1,0,118.0
3604,13 Assassins,2010,7.6,95%,0,1,0,0,141.0
3605,The Host,2006,7.1,93%,0,1,0,0,120.0
3606,Volver,2006,7.6,91%,0,1,0,0,121.0
3607,We Need to Talk About Kevin,2011,7.5,75%,0,1,1,0,112.0
3608,Let Me In,2010,7.1,88%,0,1,0,0,116.0
3609,Three Identical Strangers,2018,7.7,97%,0,1,0,0,96.0
3610,A Simple Favor,2018,6.8,85%,0,1,1,0,117.0
3611,Creed II,2018,7.1,84%,0,1,1,0,130.0
3612,Loving Vincent,2017,7.8,85%,0,1,0,0,94.0
3613,Megamind,2010,7.2,72%,0,1,0,0,95.0
3614,Honeyland,2019,8.0,100%,0,1,0,0,89.0
3615,The Full Monty,1997,7.2,96%,0,1,0,0,91.0
3616,Abominable,2019,7.0,81%,0,1,1,0,97.0
3617,The Chaser,2008,7.9,82%,0,1,0,0,125.0
3618,Hotel Mumbai,2018,7.6,76%,0,1,0,0,123.0
